userName,score,at,content,sentiment_label,sentiment_score,binary_sentiment,direct_binary_sentiment_label,direct_binary_sentiment_score
Kurnia Zebua,1,2025-05-11 22:07:44,"1.publikasi tidak bisa didownload, 2. tiap topik,gagal loading melulu pas dibuka",Sadness,0.5446279048919678,Negative,negative,0.9945830702781677
soffi wahyudi,1,2025-04-21 13:20:49,aplikasinya banyak ngeblanknya mungkin kebanyakan di korupsi,Anger,0.48768800497055054,Negative,negative,0.9984145164489746
Garenk Osburne,2,2025-03-23 21:40:39,"publikasi tidak dapat di unduh, terdapat error setiap kali unduh, tolong di perbaiki",Fear,0.7255702614784241,Negative,negative,0.796418309211731
Qisthi M,1,2025-03-16 04:38:46,Publikasi tidak bisa didownload baik di websitenya pun juga error,Sadness,0.48179832100868225,Negative,negative,0.9979645013809204
nadiroh izatun,1,2025-03-05 00:16:00,"kok loading terus ya menghubungkan ke jaringan terus padahal jaringan stabil, kuota juga masih banyak",Fear,0.4650267958641052,Negative,negative,0.9836286306381226
Teguh Tafirehan,1,2025-01-31 14:50:31,Tabel tidak bisa dibuka,Fear,0.5171069502830505,Negative,neutral,0.8295491337776184
Redi Panzer,5,2025-01-23 07:05:41,Ok,Anger,0.4297524392604828,Negative,neutral,0.864376962184906
daryanto warjono,4,2024-11-27 05:47:54,apakah ini aplikasi yang digunakan untuk mitra bps/sobat bps.,Fear,0.6010914444923401,Negative,neutral,0.930587112903595
Sadpril Dwi Kustaya,5,2024-11-26 01:38:38,Sangat bagus untuk kemudahan pencarian data,Happy,0.9815512895584106,Positive,positive,0.9968231916427612
Bustanil Arifin,5,2024-11-21 07:05:55,⭐️⭐️⭐️⭐️⭐️,Happy,0.6861377954483032,Positive,negative,0.4503798186779022
Wawan Yuyin,5,2024-10-30 11:39:49,"Aplikasi ini sangat bagus dan baik' untuk mengetahui siklus pertanian .pertambahan jumlah penduduk serta seluruh kegiatan ekonomi dan LMpertanian. Yg dapat digunakan sebagai in formasi bagi kami.... Per tumbuhan ekonomi masyarakat ... pertambahan jumlah penduduk...serta kegiatan pertanian... ,..",Happy,0.8918699622154236,Positive,positive,0.9778470993041992
Sugih Ugi,5,2024-10-29 01:58:48,Good work and good info terimakasih,Happy,0.9723420739173889,Positive,positive,0.5566768050193787
Supar Man,5,2024-10-23 17:29:42,Oce,Anger,0.4020726680755615,Negative,positive,0.5462132692337036
Husna Abdul Talib Ubaidi,5,2024-10-23 12:53:21,Menyenangkan,Happy,0.8885972499847412,Positive,positive,0.9123469591140747
Astry Yu o,1,2024-10-12 09:47:25,"Ngga bisa unduh data , gagal terus.",Sadness,0.3895854651927948,Negative,negative,0.9971736669540405
Kaftal Bps,5,2024-08-30 06:26:05,Baik,Happy,0.8020395040512085,Positive,positive,0.9090110063552856
Mezak Dangeubun,5,2024-08-18 00:55:51,Keren,Sadness,0.5338056087493896,Negative,positive,0.9821565747261047
bimo prasetyo,5,2024-07-19 12:25:53,Tolong sediakan dark mode pada aplikasi,Fear,0.6564314365386963,Negative,neutral,0.9985862970352173
achmad sholichin,5,2024-06-26 08:47:30,Baik,Happy,0.8020395040512085,Positive,positive,0.9090110063552856
Hendra Saut Martua Pasaribu,5,2024-06-10 23:14:25,Mantap,Happy,0.8788559436798096,Positive,positive,0.9892808794975281
Jua Mahardhika,5,2024-05-28 14:24:10,Sangat bermanfaat,Happy,0.9800819754600525,Positive,positive,0.9775527715682983
Erh Ghighy,1,2024-05-02 09:56:48,Tidak mengerti dan membingungkan,Sadness,0.4793980121612549,Negative,negative,0.9955944418907166
Iqbal Fatir,5,2024-03-07 09:59:46,Aplikasi ini sangat bermanfaat,Happy,0.8352529406547546,Positive,positive,0.9847724437713623
Danny Pratama,5,2024-01-31 11:18:49,Oke,Anger,0.6854547262191772,Negative,negative,0.6478973627090454
Wahyu Yulianto,5,2023-12-23 22:48:32,Informasi yg lengkap dalam genggaman,Happy,0.9700543284416199,Positive,neutral,0.5604868531227112
Cindy Ayu Pradila,2,2023-12-20 13:29:35,Di hp yg merk oppo gak bisa dibuka malah putih semua tapi di hp temen aku bisa sedihhh,Sadness,0.9130301475524902,Negative,negative,0.9958783388137817
Susan Tatilang,5,2023-12-12 10:42:56,Terbaik,Happy,0.7131086587905884,Positive,positive,0.7699691653251648
Jaenal Arifin,3,2023-12-03 01:31:10,Ga bisa di buka ya,Fear,0.4939112365245819,Negative,negative,0.9813781976699829
Ari Gunawan,5,2023-11-27 03:31:29,"Aplikasi ini sangat membantu, semoga kedepannya bisa semakin berkembang terimakasih allstars BPS semoka sukses selalu",Happy,0.8517013192176819,Positive,positive,0.9889017343521118
Yoseph Nai bere,5,2023-11-27 01:52:59,👍👍👍,Happy,0.7656393647193909,Positive,positive,0.486377090215683
Iwan Kurniawan S,5,2023-11-17 06:18:56,Ok,Anger,0.4297524392604828,Negative,neutral,0.864376962184906
Nadillah Anwar,3,2023-10-28 02:55:48,"Kenapa gak ada data kendaraan bermotor ya, di provinsi Sumbar 😥",Anger,0.5297210216522217,Negative,negative,0.9097188711166382
Akmal Saifani,3,2023-08-06 01:51:32,Aplikasi lemot ya allah pake data mah padahal signal ga begitu jelek...,Anger,0.4067096710205078,Negative,negative,0.9987372756004333
kasril kasril,4,2023-04-03 14:06:13,Aplikasinya kadang kurang responsif dan sedikit lemot,Sadness,0.6842433214187622,Negative,negative,0.993070662021637
widia arumi,3,2023-04-01 14:36:50,Aplikasi saat dibuka loading nya lama dan tombol cancel g berfungsi saat ingin membatalkan download publikasi,Fear,0.5443091988563538,Negative,neutral,0.5211321711540222
M. Hendy Saputra,5,2023-03-11 01:19:37,Luar biasa keren aplikasi nya,Happy,0.5819281935691833,Positive,positive,0.9954955577850342
sultan alfian,4,2023-02-25 06:04:33,"udah bagus, grafik2 nya juga menarik tapi pas lagi searching dan mau nambahin kata di kolom pencarian harus ngetik ulang lagi",Happy,0.9163564443588257,Positive,positive,0.5042442679405212
Khalid Alwalid,5,2022-11-14 17:19:37,1 data untuk Indonesia Sejahtera,Happy,0.612525463104248,Positive,neutral,0.9958814382553101
Dominggus Nape,5,2022-09-25 07:52:38,Baik,Happy,0.8020395040512085,Positive,positive,0.9090110063552856
ari Kusmawan,1,2022-07-19 13:40:36,Oke,Anger,0.6854547262191772,Negative,negative,0.6478973627090454
Jane Doe,3,2022-07-12 06:12:41,"Sering reload kehalaman awal, tidak ada menu khusus download laporan pdf, dan untuk kolom pencarian setelah di enter dan mau nambahin kata harus nulis dari awal lagi. Backend aplikasinya kurang smooth padahal aplikasi nya enteng tapi sering reload2 mulu",Sadness,0.8059840798377991,Negative,negative,0.9962347149848938
JaGaTraDisi Chanel Annas,5,2022-06-28 12:56:09,Mantap,Happy,0.8788559436798096,Positive,positive,0.9892808794975281
Moh. Gunawan Minggu,1,2022-05-15 16:19:11,Datanya tdk bisa dibuka,Sadness,0.5873879194259644,Negative,negative,0.9424432516098022
Sri Astuti,5,2022-04-26 08:45:05,Sangat membantu,Happy,0.9810155630111694,Positive,positive,0.9743769764900208
2 - Rizky Fadhillah,3,2022-04-26 08:41:06,"Izin bertanya min, dimanakah saya bisa bertanya cara mendapatkan data podes di silastik untuk mahasiswa? Apakah ada chat wanya?",Happy,0.7050583362579346,Positive,neutral,0.8918819427490234
sri haryanti,1,2022-04-19 21:25:53,"Aplikasi geje data dinamis, engak ditampilkan, isian data dari tahun ke tahun engak ada perubahan, maksudnya gimana, masak penduduk tahun sekian dengan penduduk +1 engak berubah, engak jelas datanya",Fear,0.52059406042099,Negative,negative,0.9366760849952698
Abdullah Noto,5,2022-04-06 19:16:14,Alhamdulillah,Happy,0.9412325620651245,Positive,positive,0.9811193943023682
Natanael Marbun,5,2022-04-05 00:52:40,Mantap,Happy,0.8788559436798096,Positive,positive,0.9892808794975281
geumala tari,1,2022-04-01 23:12:37,"tidak bisa di gunakan sama sx. klik buka lgsg ""aplikasi terus menerus berhenti, tutup paksa""",Fear,0.6006200313568115,Negative,negative,0.9333907961845398
Tulus Soebagijo,5,2022-03-21 10:07:28,Okey,Sadness,0.6118718981742859,Negative,negative,0.9846588373184204
Rizki Fajri Saputra,5,2022-03-09 02:28:41,Mantap sangat memudahkan,Happy,0.9704731702804565,Positive,positive,0.995795488357544
Budi Raharjo,5,2022-03-07 01:41:10,Pernah pakai dan sangat membantu,Happy,0.966431736946106,Positive,positive,0.8368731141090393
Geography ZID,5,2022-03-07 00:37:51,Mantap,Happy,0.8788559436798096,Positive,positive,0.9892808794975281
Yayan Novita,5,2022-02-07 02:46:42,Good,Anger,0.43648019433021545,Negative,positive,0.9345430731773376
Abilhaq,1,2022-02-04 07:19:03,"Mohon lebih diperdetail kasus kasus yang sangat penting seperti memakai data yg jelas serta menggunakan infografis mengenai, pelecehan sexual, pembunuhan, dll agar kita bisa tau tiap tahun kasus kriminal berapa.",Fear,0.743118166923523,Negative,negative,0.6669236421585083
Handayani Iis,5,2022-02-03 03:14:51,Masih baru nyoba 👍👍,Happy,0.37647753953933716,Positive,negative,0.9412442445755005
SAHBAN JULIADINATA,5,2021-12-05 04:18:31,Bagus satu data,Happy,0.7867270112037659,Positive,neutral,0.6511962413787842
Ari Setiawan,5,2021-10-29 01:29:43,👍👍,Happy,0.6929829716682434,Positive,negative,0.4812983572483063
Nur Eli,2,2021-10-10 13:00:31,Xx xx x xx xx ec,Fear,0.5032240748405457,Negative,neutral,0.9830079078674316
Safe Nduru,1,2021-09-12 02:39:00,"Aplikasi yg bagus... Tapi informasi yang ada banyak yang diragukan alias kurang dipercaya, misalnya dalam pertumbuhan ekonomi... ✌✌✌",Happy,0.5000706911087036,Positive,negative,0.9308205842971802
Arifin Missin,5,2021-08-19 04:23:45,Bravo Statistika Indonesia.,Happy,0.9203608632087708,Positive,positive,0.7568082809448242
white sky,5,2021-08-03 07:45:25,"Aplikasinya bagus, Mantap developer aplikasi ini, keluhan pengguna didengarkan terima kasih",Happy,0.9766090512275696,Positive,positive,0.9904981255531311
Wahono As,3,2021-07-11 04:35:52,Kenapa tidak bisa download ya? Mohon aplikasinya untuk di update. Terima kasih,Fear,0.6084327101707458,Negative,neutral,0.6614970564842224
Mustain Mahameru,5,2021-07-08 01:49:07,Sangat membantu,Happy,0.9810155630111694,Positive,positive,0.9743769764900208
igun gun,4,2021-07-07 09:36:01,"Aplikasi ini memudahkan pengguna mengakses informasi yg di cari sesuai kebutuhkan yang ingin di dapat dari berbagai aspek dan bidang secara berimbang, serta bisa di jadikan barometer atau referensi dalam memperoleh informasi data yang akurat dan ter update..ini merupakan wujud kolaborasi yg baik antar lini dan pemangku kebijakan untuk mewujudkan kepentingan bersama tentang potensi serta solusi masalah dlm berbagai bidang tentang keterbukaan informasi publik.semoga BPS semakin maju,kreatif Go BPS",Happy,0.855928361415863,Positive,positive,0.9462275505065918
Siti afinah Tahar,5,2021-07-07 05:06:05,"Setelah saya ulik aplikasi nya bagus, fiturnya lengkap dan sangat membantu dalam pencarian data statistik penduduk.",Happy,0.9164481163024902,Positive,positive,0.9721355438232422
Hasanudin Kayzan,5,2021-07-07 03:29:21,Ok,Anger,0.4297524392604828,Negative,neutral,0.864376962184906
sjam makmun,4,2021-07-07 03:18:02,Langkah maju dari BPS... Mudah2an bisa terus dikembangkan,Happy,0.9298375844955444,Positive,positive,0.9626898765563965
Ibnu Abdillah,5,2021-07-07 02:48:38,"Luar biasa, aplikasi data statistik lengkap",Happy,0.7300740480422974,Positive,positive,0.9694514274597168
Indra Pramudinata,5,2021-07-07 02:19:14,"Aplikasi yang sangat bermanfaat sekali, karena dengan aplikasi ini kita bisa mengetahui update data statistik penduduk indonesia dan kita juga bisa menghindari hoax dengan dat yang ada pada aplikasi ini. 👍👍",Love,0.6659669280052185,Positive,positive,0.9815094470977783
Atin Aliyah,5,2021-07-06 14:08:39,"Aplikasi nya bagus, sangat membantu untuk mencari data yang diperlukan, top markotop deh pokoknya 🥰",Love,0.8701605796813965,Positive,positive,0.9946373105049133
addy rudy,5,2021-07-06 05:33:51,Aplikasi bps sangat bagus dan sangat membantu untuk pencarian data penduduk ..good job BPS,Happy,0.8708214163780212,Positive,positive,0.9979503750801086
Uciha Uciha,5,2021-07-06 05:03:44,"bagus, untuk pelayanan statistik",Happy,0.9744260907173157,Positive,positive,0.6267263293266296
Khoerul Anan,5,2021-07-06 02:01:48,Aplikasi yang sangat membantu dalam memerlukan informasi data statistik masyarakat,Happy,0.8239555358886719,Positive,positive,0.9219937324523926
zuju safana,5,2021-07-06 01:54:16,"Aplikasi nya bagus menyajikan berita tentang kependudukan, pertanian, inflasi serta pertumbuhan ekonomi dan kita lebih mudah mencari data melalui aplikasi allstats ini",Happy,0.923375129699707,Positive,positive,0.9871920347213745
cici patgi,1,2021-07-05 05:06:23,Kenapa saya tidak bisa mendownload aplikasi ini,Fear,0.6574341654777527,Negative,negative,0.981787919998169
Ahmad Luqman,5,2021-06-20 05:07:41,Bagus isi n penampilannya,Happy,0.9834693670272827,Positive,positive,0.9487351179122925
RIFKI KURNIAWAN,5,2021-06-08 17:17:34,"Isinya sudah pasti gak perlu dikomentari, tampilannya ini luar biasa bagus.",Happy,0.6631165742874146,Positive,positive,0.9880459308624268
Ernawati Ernawati,2,2021-05-29 02:40:49,"Awalnya bagus. Tapi sekarang susah, percuma ada nama tabel doang pas di klik nggak bisa dibuka",Sadness,0.7547796964645386,Negative,negative,0.9733128547668457
Hasan JR,5,2021-05-28 20:51:02,Berguna,Anger,0.36794066429138184,Negative,negative,0.8173295855522156
Rexy Jordan,1,2021-05-04 03:23:57,Luar biasa,Happy,0.6881544589996338,Positive,positive,0.9549039602279663
Erni Latifah,5,2021-04-27 00:15:53,Sangat Bagus,Happy,0.9554893374443054,Positive,positive,0.9736558794975281
Wawan Broet,5,2021-04-18 06:31:22,OK,Anger,0.4566029906272888,Negative,neutral,0.4677308201789856
Ivan Rs,1,2021-04-08 19:26:47,"Make WiFi tetep aja ga bisa buka data nya hadehhh ga niat asli yg bikin, malah nyusahin",Anger,0.628185510635376,Negative,negative,0.9989790916442871
Adnan Saputra,2,2021-04-05 04:49:38,Download error terus,Fear,0.4188099801540375,Negative,negative,0.9912621974945068
